,P_Z0_before,P_Z0_after,P_Z1_before,P_Z1_after,P_WH_before,P_WH_after,T_Z0_before,T_Z0_after,T_Z1_before,T_Z1_after,P_bottom_before,P_bottom_after,T_WH_before,T_WH_after,failure
0,809.62317,810.7316,774.3499,743.2348,254.9936,235.41829,87.14267,83.61783,84.81369,83.92776,804.413,784.19104,69.659775,68.14456,1.0
1,798.19464,802.37054,757.5923,735.5474,252.06357,236.0,85.65962,83.670715,85.46272,83.123856,798.2496,778.74585,69.535324,67.04249,1.0
2,818.4815,847.05554,773.0573,769.04803,623.0879,633.99585,106.32862,91.06964,96.541176,90.21795,633.2044,581.71906,58.85752,56.946575,0.0
3,732.8129,744.68585,660.5022,681.04297,406.1436,391.75363,83.08888,84.03301,85.71624,77.49323,692.7332,699.9415,60.9128,62.955395,1.0
4,853.96375,837.57605,803.12885,781.6723,268.00153,229.45189,87.378784,83.75671,80.67546,86.29856,836.2985,797.531,75.10142,69.45358,1.0
5,859.9086,846.7075,804.1206,791.6044,303.48044,245.78116,91.35173,83.87058,76.37049,88.4989,845.8653,813.97485,75.63062,72.734665,1.0
6,835.8666,857.0547,796.1431,787.41516,627.89746,636.05524,99.56581,96.062164,102.84331,87.97271,645.10693,602.62506,77.40248,70.97485,0.0
7,777.51227,812.6861,730.0909,730.81433,610.0676,620.65656,97.73209,88.72717,88.39464,81.101906,598.3204,562.72797,47.942364,53.848667,0.0
8,743.54114,763.97424,685.73047,693.7092,600.0134,603.23865,89.27123,88.68845,82.77585,74.316635,571.58484,540.9263,48.04543,58.02582,0.0
9,854.4436,837.7482,803.3107,782.0683,268.47067,228.0665,87.48234,83.89093,80.46775,86.3484,836.7606,800.1255,74.92059,70.00711,1.0
10,728.9876,739.9315,667.33527,678.66364,592.9945,592.05176,85.53033,88.460884,81.779015,72.11529,556.15186,533.5416,49.28258,60.523148,0.0
11,786.77264,790.60834,732.0983,725.81476,261.975,241.56142,85.10939,82.42264,84.8769,82.29531,787.8592,764.56476,69.32494,64.287025,1.0
